iter	Passed	Remaining
702	8782	3710
703	8786	3694
704	8792	3679
705	8796	3663
706	8800	3647
707	8804	3631
708	8810	3616
709	8815	3600
710	8823	3586
711	8827	3570
712	8833	3555
713	8841	3541
714	8850	3527
715	8861	3515
716	8873	3502
717	8882	3488
718	8891	3475
719	8904	3462
720	8919	3451
721	8928	3437
722	8938	3424
723	8945	3410
724	8956	3397
725	8965	3383
726	8974	3370
727	8985	3357
728	8992	3342
729	9002	3329
730	9012	3316
731	9021	3302
732	9032	3289
733	9041	3276
734	9057	3265
735	9065	3251
736	9076	3238
737	9088	3226
738	9095	3212
739	9105	3199
740	9114	3185
741	9128	3174
742	9137	3160
743	9146	3147
744	9156	3134
745	9185	3127
746	9194	3114
747	9202	3100
748	9209	3086
749	9220	3073
750	9229	3060
751	9233	3045
752	9238	3030
753	9243	3015
754	9251	3002
755	9256	2987
756	9261	2973
757	9268	2958
758	9273	2944
759	9278	2929
760	9283	2915
761	9287	2900
762	9293	2886
763	9298	2872
764	9304	2858
765	9310	2844
766	9317	2830
767	9323	2816
768	9328	2802
769	9333	2787
770	9338	2773
771	9342	2759
772	9348	2745
773	9354	2731
774	9359	2717
775	9366	2703
776	9373	2690
777	9379	2676
778	9384	2662
779	9390	2648
780	9395	2634
781	9400	2620
782	9410	2607
783	9420	2595
784	9430	2582
785	9454	2574
786	9465	2561
787	9471	2548
788	9475	2533
789	9480	2520
790	9484	2506
791	9488	2491
792	9492	2477
793	9496	2463
794	9500	2449
795	9503	2435
796	9507	2421
797	9511	2407
798	9515	2393
799	9519	2379
800	9526	2366
801	9529	2352
802	9534	2339
803	9538	2325
804	9543	2311
805	9547	2298
806	9552	2284
807	9556	2270
808	9560	2257
809	9564	2243
810	9568	2229
811	9585	2219
812	9590	2205
813	9594	2192
814	9598	2178
815	9602	2165
816	9606	2151
817	9610	2138
818	9615	2125
819	9619	2111
820	9623	2098
821	9627	2084
822	9632	2071
823	9636	2058
824	9641	2045
825	9645	2031
826	9649	2018
827	9653	2005
828	9657	1992
829	9661	1978
830	9665	1965
831	9669	1952
832	9673	1939
833	9677	1926
834	9682	1913
835	9689	1900
836	9697	1888
837	9705	1876
838	9710	1863
839	9718	1851
840	9724	1838
841	9733	1826
842	9744	1814
843	9749	1801
844	9753	1789
845	9759	1776
846	9764	1763
847	9768	1750
848	9773	1738
849	9777	1725
850	9781	1712
851	9786	1699
852	9791	1687
853	9797	1675
854	9802	1662
855	9807	1649
856	9811	1637
857	9816	1624
858	9820	1612
859	9824	1599
860	9828	1586
861	9834	1574
862	9838	1561
863	9842	1549
864	9847	1536
865	9851	1524
866	9856	1511
867	9860	1499
868	9865	1487
869	9869	1474
870	9873	1462
871	9877	1449
872	9881	1437
873	9885	1425
874	9889	1412
875	9893	1400
876	9898	1388
877	9902	1375
878	9906	1363
879	9910	1351
880	9914	1339
881	9918	1327
882	9923	1314
883	9927	1302
884	9931	1290
885	9935	1278
886	9940	1266
887	9944	1254
888	9948	1242
889	9952	1230
890	9956	1217
891	9960	1205
892	9964	1193
893	9968	1181
894	9972	1169
895	9976	1158
896	9980	1146
897	9985	1134
898	9989	1122
899	9993	1110
900	9997	1098
901	10001	1086
902	10005	1074
903	10009	1062
904	10013	1051
905	10018	1039
906	10022	1027
907	10026	1015
908	10030	1004
909	10034	992
910	10038	980
911	10043	969
912	10048	957
913	10052	945
914	10055	934
915	10059	922
916	10063	910
917	10067	899
918	10071	887
919	10075	876
920	10078	864
921	10082	852
922	10085	841
923	10090	829
924	10093	818
925	10097	806
926	10100	795
927	10103	783
928	10108	772
929	10112	761
930	10131	750
931	10153	740
932	10157	729
933	10161	718
934	10165	706
935	10169	695
936	10174	684
937	10178	672
938	10184	661
939	10189	650
940	10193	639
941	10198	627
942	10202	616
943	10207	605
944	10211	594
945	10216	583
946	10232	572
947	10236	561
948	10240	550
949	10244	539
950	10248	528
951	10252	516
952	10256	505
953	10259	494
954	10262	483
955	10266	472
956	10269	461
957	10273	450
958	10276	439
959	10280	428
960	10283	417
961	10286	406
962	10289	395
963	10292	384
964	10296	373
965	10299	362
966	10303	351
967	10307	340
968	10310	329
969	10314	318
970	10318	308
971	10322	297
972	10325	286
973	10329	275
974	10333	264
975	10337	254
976	10341	243
977	10345	232
978	10358	222
979	10361	211
980	10364	200
981	10368	190
982	10371	179
983	10375	168
984	10378	158
985	10382	147
986	10385	136
987	10389	126
988	10392	115
989	10395	105
990	10399	94
991	10402	83
992	10405	73
993	10410	62
994	10414	52
995	10417	41
996	10421	31
997	10425	20
998	10429	10
999	10433	0
